epoch_time,open,high,low,close,date
1721879100,24230.95,24276.45,24210.8,24248.2,2024-07-25 09:15:00+05:30
1721880000,24248.15,24300.1,24242.05,24287.3,2024-07-25 09:30:00+05:30
1721880900,24287.65,24287.65,24245.15,24274.65,2024-07-25 09:45:00+05:30
1721881800,24273.15,24303.15,24267.7,24294.95,2024-07-25 10:00:00+05:30
1721882700,24294.8,24307.9,24270.85,24278.7,2024-07-25 10:15:00+05:30
1721883600,24278.3,24327.2,24277.15,24317.8,2024-07-25 10:30:00+05:30
1721884500,24317.2,24330.1,24305.2,24320.2,2024-07-25 10:45:00+05:30
1721885400,24318.8,24332.45,24309.8,24324.2,2024-07-25 11:00:00+05:30
1721886300,24324.05,24333.35,24295.1,24329.0,2024-07-25 11:15:00+05:30
1721887200,24328.45,24344.95,24326.7,24337.65,2024-07-25 11:30:00+05:30
1721888100,24337.0,24366.5,24333.95,24358.2,2024-07-25 11:45:00+05:30
1721889000,24357.4,24368.65,24345.75,24362.95,2024-07-25 12:00:00+05:30
1721889900,24362.15,24379.2,24358.9,24370.3,2024-07-25 12:15:00+05:30
1721890800,24369.85,24376.65,24354.7,24358.45,2024-07-25 12:30:00+05:30
1721891700,24358.4,24395.05,24357.25,24390.95,2024-07-25 12:45:00+05:30
1721892600,24390.7,24397.9,24381.15,24382.3,2024-07-25 13:00:00+05:30
1721893500,24381.8,24396.95,24380.3,24392.3,2024-07-25 13:15:00+05:30
1721894400,24392.15,24394.1,24361.05,24367.1,2024-07-25 13:30:00+05:30
1721895300,24366.0,24395.5,24364.4,24394.4,2024-07-25 13:45:00+05:30
1721896200,24394.2,24426.15,24392.6,24421.35,2024-07-25 14:00:00+05:30
1721897100,24422.45,24424.65,24405.7,24414.5,2024-07-25 14:15:00+05:30
1721898000,24415.15,24419.95,24380.1,24382.25,2024-07-25 14:30:00+05:30
1721898900,24383.25,24412.1,24382.15,24399.8,2024-07-25 14:45:00+05:30
1721899800,24400.55,24411.25,24389.3,24397.5,2024-07-25 15:00:00+05:30
1721900700,24396.5,24423.15,24388.95,24415.0,2024-07-25 15:15:00+05:30
1721965500,24423.35,24492.7,24410.9,24477.2,2024-07-26 09:15:00+05:30
1721966400,24477.65,24528.95,24462.0,24526.6,2024-07-26 09:30:00+05:30
1721967300,24526.4,24551.65,24511.45,24548.85,2024-07-26 09:45:00+05:30
1721968200,24548.65,24595.0,24548.0,24578.7,2024-07-26 10:00:00+05:30
1721969100,24578.45,24610.15,24576.25,24590.85,2024-07-26 10:15:00+05:30
1721970000,24590.65,24609.2,24590.05,24598.95,2024-07-26 10:30:00+05:30
1721970900,24599.05,24615.1,24590.1,24613.25,2024-07-26 10:45:00+05:30
1721971800,24613.35,24654.45,24610.6,24644.8,2024-07-26 11:00:00+05:30
1721972700,24643.95,24655.55,24637.65,24639.55,2024-07-26 11:15:00+05:30
1721973600,24639.95,24643.8,24623.6,24635.75,2024-07-26 11:30:00+05:30
1721974500,24635.6,24656.85,24634.3,24651.05,2024-07-26 11:45:00+05:30
1721975400,24650.8,24653.85,24638.5,24639.0,2024-07-26 12:00:00+05:30
1721976300,24638.95,24656.05,24637.1,24650.85,2024-07-26 12:15:00+05:30
1721977200,24651.0,24721.5,24648.35,24718.65,2024-07-26 12:30:00+05:30
1721978100,24718.15,24733.3,24711.35,24716.35,2024-07-26 12:45:00+05:30
1721979000,24715.85,24781.15,24715.85,24775.55,2024-07-26 13:00:00+05:30
1721979900,24777.1,24802.15,24758.2,24783.75,2024-07-26 13:15:00+05:30
1721980800,24781.8,24814.25,24776.55,24795.55,2024-07-26 13:30:00+05:30
1721981700,24794.45,24818.25,24758.35,24790.1,2024-07-26 13:45:00+05:30
1721982600,24787.35,24800.15,24766.25,24797.8,2024-07-26 14:00:00+05:30
1721983500,24797.75,24807.2,24759.45,24783.6,2024-07-26 14:15:00+05:30
1721984400,24783.25,24808.4,24778.6,24801.45,2024-07-26 14:30:00+05:30
1721985300,24800.25,24834.15,24797.0,24828.35,2024-07-26 14:45:00+05:30
1721986200,24827.1,24853.1,24810.75,24849.05,2024-07-26 15:00:00+05:30
1721987100,24848.0,24861.15,24830.4,24851.75,2024-07-26 15:15:00+05:30
